index,ngram,sentence,replace,error,replacement
879,0,"['Only bristly locust flowers contained anthocyanins.'
 list([('Only',), ('bristly',), ('locust',), ('flowers',), ('contained',), ('anthocyanins.',)])
 list([('Only', 'bristly'), ('bristly', 'locust'), ('locust', 'flowers'), ('flowers', 'contained'), ('contained', 'anthocyanins.')])
 list([('Only', 'bristly', 'locust'), ('bristly', 'locust', 'flowers'), ('locust', 'flowers', 'contained'), ('flowers', 'contained', 'anthocyanins.')])
 list([('Only', 'bristly', 'locust', 'flowers'), ('bristly', 'locust', 'flowers', 'contained'), ('locust', 'flowers', 'contained', 'anthocyanins.')])]",,split_words,foo
567,0,"['Abetalipoproteinemia' list([('Abetalipoproteinemia',)]) list([])
 list([]) list([])]",,remove_verbs,foo
205,0,"['Seven survivors (41%) reported fatigue (Fatigue Severity Scale).'
 list([('Seven',), ('survivors',), ('(41%)',), ('reported',), ('fatigue',), ('(Fatigue',), ('Severity',), ('Scale).',)])
 list([('Seven', 'survivors'), ('survivors', '(41%)'), ('(41%)', 'reported'), ('reported', 'fatigue'), ('fatigue', '(Fatigue'), ('(Fatigue', 'Severity'), ('Severity', 'Scale).')])
 list([('Seven', 'survivors', '(41%)'), ('survivors', '(41%)', 'reported'), ('(41%)', 'reported', 'fatigue'), ('reported', 'fatigue', '(Fatigue'), ('fatigue', '(Fatigue', 'Severity'), ('(Fatigue', 'Severity', 'Scale).')])
 list([('Seven', 'survivors', '(41%)', 'reported'), ('survivors', '(41%)', 'reported', 'fatigue'), ('(41%)', 'reported', 'fatigue', '(Fatigue'), ('reported', 'fatigue', '(Fatigue', 'Severity'), ('fatigue', '(Fatigue', 'Severity', 'Scale).')])]",,dictionary_replacement_verb_form_change,foo
622,0,"['DESIGN: An observational, prospective, single-center study.'
 list([('DESIGN:',), ('An',), ('observational,',), ('prospective,',), ('single-center',), ('study.',)])
 list([('DESIGN:', 'An'), ('An', 'observational,'), ('observational,', 'prospective,'), ('prospective,', 'single-center'), ('single-center', 'study.')])
 list([('DESIGN:', 'An', 'observational,'), ('An', 'observational,', 'prospective,'), ('observational,', 'prospective,', 'single-center'), ('prospective,', 'single-center', 'study.')])
 list([('DESIGN:', 'An', 'observational,', 'prospective,'), ('An', 'observational,', 'prospective,', 'single-center'), ('observational,', 'prospective,', 'single-center', 'study.')])]",,random,foo
479,0,"['HOW COMMON ARE SYNDESMOSIS INJURIES?'
 list([('HOW',), ('COMMON',), ('ARE',), ('SYNDESMOSIS',), ('INJURIES?',)])
 list([('HOW', 'COMMON'), ('COMMON', 'ARE'), ('ARE', 'SYNDESMOSIS'), ('SYNDESMOSIS', 'INJURIES?')])
 list([('HOW', 'COMMON', 'ARE'), ('COMMON', 'ARE', 'SYNDESMOSIS'), ('ARE', 'SYNDESMOSIS', 'INJURIES?')])
 list([('HOW', 'COMMON', 'ARE', 'SYNDESMOSIS'), ('COMMON', 'ARE', 'SYNDESMOSIS', 'INJURIES?')])]",,dictionary_replacement_word_order_change,foo
105,0,"['Registered: 20 October, 2018.'
 list([('Registered:',), ('20',), ('October,',), ('2018.',)])
 list([('Registered:', '20'), ('20', 'October,'), ('October,', '2018.')])
 list([('Registered:', '20', 'October,'), ('20', 'October,', '2018.')])
 list([('Registered:', '20', 'October,', '2018.')])]",,duplication,foo
355,1,The Committee for Measures Against Disaster in the Japanese Society of Neurology has appointed a liaison officer for patients with intractable neurological disease in each prefecture.,"('the',)",insert_determiner,foo
972,1,Non-human primates form an important animal model for the evaluation of immunogenicity and efficacy of novel 'universal' vaccine candidates against influenza virus.,"('evaluation',)",spelling_errors,foo
858,1,"Importantly, larger postoperative knee flexion angle helped achieve good short-term PRO after OUKA.","('after',)",random,foo
603,1,METHODS: This study was conducted based on the grounded theory qualitative approach.,"('conducted',)",random,foo
