index,ngram,sentences,replace,error,replacement
731,0,"[""SETTING: Affiliated Sixth People's Hospital, Shanghai Jiao Tong University.""
 list([('SETTING:',), ('Affiliated',), ('Sixth',), (""People's"",), ('Hospital,',), ('Shanghai',), ('Jiao',), ('Tong',), ('University.',)])
 list([('SETTING:', 'Affiliated'), ('Affiliated', 'Sixth'), ('Sixth', ""People's""), (""People's"", 'Hospital,'), ('Hospital,', 'Shanghai'), ('Shanghai', 'Jiao'), ('Jiao', 'Tong'), ('Tong', 'University.')])
 list([('SETTING:', 'Affiliated', 'Sixth'), ('Affiliated', 'Sixth', ""People's""), ('Sixth', ""People's"", 'Hospital,'), (""People's"", 'Hospital,', 'Shanghai'), ('Hospital,', 'Shanghai', 'Jiao'), ('Shanghai', 'Jiao', 'Tong'), ('Jiao', 'Tong', 'University.')])
 list([('SETTING:', 'Affiliated', 'Sixth', ""People's""), ('Affiliated', 'Sixth', ""People's"", 'Hospital,'), ('Sixth', ""People's"", 'Hospital,', 'Shanghai'), (""People's"", 'Hospital,', 'Shanghai', 'Jiao'), ('Hospital,', 'Shanghai', 'Jiao', 'Tong'), ('Shanghai', 'Jiao', 'Tong', 'University.')])]",,verb_form_change_phrase_order_change,No replacement found
1563,0,"['SETTING: CINER Rehabilitation Center.'
 list([('SETTING:',), ('CINER',), ('Rehabilitation',), ('Center.',)])
 list([('SETTING:', 'CINER'), ('CINER', 'Rehabilitation'), ('Rehabilitation', 'Center.')])
 list([('SETTING:', 'CINER', 'Rehabilitation'), ('CINER', 'Rehabilitation', 'Center.')])
 list([('SETTING:', 'CINER', 'Rehabilitation', 'Center.')])]",,duplication,No replacement found
988,0,"['Trial Registration: ClinicalTrials.gov Identifier: NCT02375581.'
 list([('Trial',), ('Registration:',), ('ClinicalTrials.gov',), ('Identifier:',), ('NCT02375581.',)])
 list([('Trial', 'Registration:'), ('Registration:', 'ClinicalTrials.gov'), ('ClinicalTrials.gov', 'Identifier:'), ('Identifier:', 'NCT02375581.')])
 list([('Trial', 'Registration:', 'ClinicalTrials.gov'), ('Registration:', 'ClinicalTrials.gov', 'Identifier:'), ('ClinicalTrials.gov', 'Identifier:', 'NCT02375581.')])
 list([('Trial', 'Registration:', 'ClinicalTrials.gov', 'Identifier:'), ('Registration:', 'ClinicalTrials.gov', 'Identifier:', 'NCT02375581.')])]",,split_words,No replacement found
933,0,"['Autism Res 2020, 13: 885-896.'
 list([('Autism',), ('Res',), ('2020,',), ('13:',), ('885-896.',)])
 list([('Autism', 'Res'), ('Res', '2020,'), ('2020,', '13:'), ('13:', '885-896.')])
 list([('Autism', 'Res', '2020,'), ('Res', '2020,', '13:'), ('2020,', '13:', '885-896.')])
 list([('Autism', 'Res', '2020,', '13:'), ('Res', '2020,', '13:', '885-896.')])]",,verb_form_change_phrase_order_change,No replacement found
1944,0,"['Registered May 6, 2013.'
 list([('Registered',), ('May',), ('6,',), ('2013.',)])
 list([('Registered', 'May'), ('May', '6,'), ('6,', '2013.')])
 list([('Registered', 'May', '6,'), ('May', '6,', '2013.')])
 list([('Registered', 'May', '6,', '2013.')])]",,duplication,No replacement found
124,0,"['SETTING: Porvoo, Finland.'
 list([('SETTING:',), ('Porvoo,',), ('Finland.',)])
 list([('SETTING:', 'Porvoo,'), ('Porvoo,', 'Finland.')])
 list([('SETTING:', 'Porvoo,', 'Finland.')]) list([])]",,insert_determiner_verb_form_change,No replacement found
820,1,Only the EPA contained substantial representation of all narcissism components.,['of'],split_words,['of']
997,1,"Quality of life increased in both intervention groups, although statistical significance was only reached in one subgroup.",['was'],insert_determiner_verb_form_change,"['a', 'be']"
1004,1,Conclusions Splanchnic venous compression alone did not improve HR or symptoms but prevented the blood pressure decrease produced by propranolol.,['improve'],verb_form_change_insert_determiner,"['is', 'improved']"
1703,1,Experimental results exhibited that the addition of GFSE properly dispersed with CS combined with CH bionanocomposite films.,['of'],insert_determiner_verb_form_change,"['of', 'of']"
1547,1,We also show that MDD and MDE are no better than CIs in identifying larger effects among the false negatives.,['and'],insert_determiner,"['were', 'and']"
969,1,"RESULTS: 59% of respondents were >50 years old and 66% had diabetes for >20 years, with 63% of patients reporting HbA1c results </=8% or 64 mmol/mol.",['with'],duplication,['with with']
1131,1,"Furthermore, the presence of LAT is significantly associated with future ischemic stroke.",['future'],insert_determiner,"['it', 'future']"
